person_id,count,name
677294,2,Lee Yoon-jung
180221,2,Kan Eguchi
354728,2,Ken Ghosh
262830,2,Annemarie Jacir
28317,2,Nicole Holofcener
851750,2,Nelson Dilipkumar
1011808,2,Kristoffer Rus
163491,2,Cris D'amato
5776,2,Ruben Fleischer
5268,2,Robert Rodriguez
68766,2,Abbas Alibhai Burmawalla
68767,2,Mustan Alibhai Burmawalla
248623,2,Kamla Abu Zekry
2646611,2,Guillaume Pierret
1268455,2,Lee Tae-gon
1077713,2,Nzingha Stewart
14299,2,Roger Kumble
68522,2,Tigmanshu Dhulia
232943,2,Kim Seong-yoon
1019758,2,Lee Jung-hyo
676955,2,Smriti Mundhra
30688,2,Shinji Aramaki
129683,2,Daniel Sivan
317056,2,Ayuko Tsukahara
5892,2,Olivier Megaton
290914,2,Nora Fingscheidt
875149,2,Ekene Som Mekwunye
1664935,2,Im Hyeon-wook
1329393,2,Sebastian DiNatale
318426,2,Tom Donahue
186349,2,Jung Ji-woo
1153263,2,Kwon Young-il
934831,2,Florent Bodin
24568,2,Rob Zombie
57119,2,Ram Gopal Varma
142171,2,Christian Schwochow
169637,2,Pedro Antônio
394013,2,Luke Sewell
1161694,2,Rafal Skalski
111310,2,Ryan White
365400,2,Yağmur Taylan
65889,2,Rory Kennedy
162230,2,Castille Landon
158614,2,Joe Penna
367083,2,Emre Şahin
2396662,2,Jun-Young Um
328367,2,Ruel S. Bayani
64178,2,Louie Psihoyos
120637,2,Jake Szymanski
850322,2,Tsuyoshi Nakakuki
65354,2,Jeong Jeong-hwa
345564,2,Andrea Molaioli
51682,2,Nathan Frankowski
6623,2,Joseph Kosinski
15833,2,Baltasar Kormákur
157637,2,Yoshitomo Yonetani
907499,2,Ulises Valencia
183527,2,Hiroaki Matsuyama
249253,2,Harry Bradbeer
179099,2,Juliana Vicente
229349,2,Rano Karno
1420443,2,Mohamed Gamal Al Adl
350812,2,Jordan Riber
11474,2,Eric Idle
65679,2,Aubrey Powell
176560,2,Tsai Yueh-Hsun
15873,2,Justin Chadwick
15380,2,Amy Poehler
1200162,2,Susan Youssef
1414314,2,Niccolò Celaia
1414311,2,Antonio Usbergo
27727,2,Ben Stassen
387493,2,Shanker Raman
1116008,2,Kim Jin-won
1244324,2,Chiaki Kon
