id,title,score,director
tm229542,John Mulaney: The Comeback Kid,7.800000000000001,Rhys Thomas
tm312738,Jindua,7.800000000000001,Navaniat Singh
tm53625,Inventing David Geffen,7.8,Susan Lacy
tm476496,Bhai - Vyakti Ki Valli 2,7.8,Mahesh Manjrekar
tm210754,Have You Ever Seen Fireflies? - Theatre Play,7.8,Yılmaz Erdoğan
tm184326,Damini,7.8,Rajkumar Santoshi
tm884531,Making Unorthodox,7.8,Marlene Melchior
tm1030071,Mandela,7.8,Madonne Ashwin
tm1146144,Nafsi,7.8,Reuben Odanga
tm824488,The Art of Incarceration,7.8,Alex Siddons
tm859424,Maradona's Legs,7.8,Firas Khoury
tm837042,"Hoshino Gen Dome Tour ""POP VIRUS"" at Tokyo Dome",7.8,
tm406881,Bathtubs Over Broadway,7.8,Dava Whisenant
tm321149,Fishtronaut: The Movie,7.8,Kiko Mistrorigo
tm816038,Violet Evergarden: Eternity and the Auto Memory Doll,7.8,Haruka Fujita
tm321149,Fishtronaut: The Movie,7.8,Celia Catunda
tm1041543,Breaking Boundaries: The Science of Our Planet,7.8,Jon Clay
tm221953,Bāhubali 2: The Conclusion,7.7995,S. S. Rajamouli
tm219817,Talvar,7.798,Meghna Gulzar
tm311815,Icarus,7.789,Bryan Fogel
tm931330,BLACKPINK: Light Up the Sky,7.789,Caroline Suh
tm137002,Bāhubali: The Beginning,7.786,S. S. Rajamouli
tm68436,Barfi!,7.785,Anurag Basu
tm370144,The Mitchells vs. the Machines,7.7844999999999995,Michael Rianda
tm57755,All Quiet on the Western Front,7.7775,Edward Berger
tm320255,Bad Genius,7.77,Nattawut Poonpiriya
tm449195,The Boy Who Harnessed the Wind,7.7684999999999995,Chiwetel Ejiofor
tm898169,If Anything Happens I Love You,7.767,Will McCormack
tm898169,If Anything Happens I Love You,7.767,Michael Govier
tm69997,Richard Pryor: Live in Concert,7.766,Jeff Margolis
tm148976,The Battered Bastards of Baseball,7.7595,Chapman Way
tm148976,The Battered Bastards of Baseball,7.7595,Maclain Way
tm82765,Swades,7.757999999999999,Ashutosh Gowariker
tm445899,Struggle: The Life and Lost Art of Szukalski,7.75,Irek Dobrowolski
tm348191,Love You to the Stars and Back,7.75,Antoinette Jadaone
tm169295,Brokeback Mountain,7.75,Ang Lee
tm996762,Major,7.75,Sashi Kiran Tikka
tm149914,Jim Jefferies: Bare,7.75,Shannon Hartman
tm431349,Bulbul Can Sing,7.75,Rima Das
tm156397,Starting Over Again,7.75,Olivia M. Lamasan
tm466850,Ricardo Quevedo: los amargados somos más,7.75,Fernando Ayllón
tm1138814,Ritsa: Three Colors of Love,7.75,Ahmed Yousri
tm156811,Queen,7.75,Vikas Bahl
tm143360,The Raid 2,7.75,Gareth Evans
tm364769,Pahuna: The Little Visitors,7.75,Paakhi A. Tyrewala
tm450512,Pinky Memsaab,7.75,Shazia Ali Khan
tm232579,Hunt for the Wilderpeople,7.75,Taika Waititi
tm468200,Uyare,7.75,Manu Ashokan
tm270555,The Ivory Game,7.75,Richard Ladkani
tm839761,"Kalel, 15",7.75,Jun Robles Lana
tm827216,Bill Burr: Paper Tiger,7.75,Mike Binder
tm270555,The Ivory Game,7.75,Kief Davidson
tm417416,Five Feet Apart,7.75,Justin Baldoni
tm1143898,Jana Gana Mana,7.745000000000001,Dijo Jose Antony
tm63514,The Last Days,7.7445,James Moll
tm937814,The Alpinist,7.7425,Nick Rosen
tm937814,The Alpinist,7.7425,Peter Mortimer
tm441050,The Gentlemen,7.741,Guy Ritchie
tm447439,System Crasher,7.7375,Nora Fingscheidt
tm273600,Kuroko's Basketball the Movie: Last Game,7.7275,Shunsuke Tada
tm35700,Paan Singh Tomar,7.7139999999999995,Tigmanshu Dhulia
tm493511,The Sky Is Pink,7.7035,Shonali Bose
tm250364,Chhota Bheem in the Incan Adventure,7.7,
tm1304174,Thalaikoothal,7.7,Jayaprakash Radhakrishnan
tm1113921,In Vitro,7.7,
tm305129,Sing 2,7.7,Garth Jennings
tm432242,Sew the Winter to My Skin,7.7,Jahmil X.T. Qubeka
tm186461,No Direction Home: Bob Dylan,7.7,Martin Scorsese
tm840196,The Trial of the Chicago 7,7.7,Aaron Sorkin
tm835305,Dancing with the Birds,7.7,Huw Cordey
tm171965,Mike Birbiglia: My Girlfriend's Boyfriend,7.7,Seth Barrish
tm1076351,the Alleys,7.7,Bassel Ghandour
tm359978,Forgotten,7.7,Jang Hang-jun
tm1299912,Rekha,7.7,Jithin Issac Thomas
tm1183420,Hadath Fe 2 Talaat Harb,7.7,Magdy Ahmed Aly
tm47171,OMG: Oh My God!,7.699999999999999,Umesh Shukla
tm470836,The Show Must Go On: The Queen + Adam Lambert Story,7.699999999999999,Simon Lupton
tm244149,The Irishman,7.699999999999999,Martin Scorsese
tm138902,Inuyasha the Movie 3: Swords of an Honorable Ruler,7.699999999999999,Toshiya Shinohara
tm470836,The Show Must Go On: The Queen + Adam Lambert Story,7.699999999999999,Christopher Bird
tm1251079,Stutz,7.699999999999999,Jonah Hill
tm43399,Lagaan: Once Upon a Time in India,7.694,Ashutosh Gowariker
tm897466,The Summit of the Gods,7.694,Patrick Imbert
tm313424,Pad Man,7.692500000000001,R. Balki
tm450262,Last Breath,7.6835,Alex Parkinson
tm450262,Last Breath,7.6835,Richard Da Costa
tm288499,Roma,7.6835,Alfonso Cuarón
tm157609,Born in Gaza,7.6785,Hernán Zin
tm426117,On My Skin,7.676,Alessio Cremonini
tm59590,One Piece Film: Z,7.667,Tatsuya Nagamine
tm103732,Udaan,7.6555,Vikramaditya Motwane
tm1263902,Franco Escamilla: Eavesdropping,7.65,Claude Shires
tm174190,Undefeated,7.65,Daniel Lindsay
tm62924,Monty Python Live at the Hollywood Bowl,7.65,Ian MacNaughton
tm12876,Bombay,7.65,Mani Ratnam
tm149578,Mission Blue,7.65,Fisher Stevens
tm1138426,Mars One,7.65,Gabriel Martins
tm824855,Lola Igna,7.65,Eduardo Roy Jr.
tm1039168,Cinema Bandi,7.65,Praveen Kandregula
tm1024062,Nayattu,7.65,Martin Prakkat
tm113275,A Chinese Odyssey Part Two: Cinderella,7.65,Jeffrey Lau
tm678035,Uncle Naji in UAE,7.65,Ahmed Zain
tm149578,Mission Blue,7.65,Robert Nixon
tm62924,Monty Python Live at the Hollywood Bowl,7.65,Terry Hughes
tm144345,Kal Ho Naa Ho,7.65,Nikkhil Advani
tm445255,Qismat,7.65,
tm174190,Undefeated,7.65,T.J. Martin
tm845415,Miss Americana,7.65,Lana Wilson
tm1091155,Untold: Breaking Point,7.65,Chapman Way
tm232855,Everything About Her,7.65,Joyce E. Bernal
tm670553,Your Name Engraved Herein,7.65,Kuang-Hui Liu
tm110160,Avvai Shanmugi,7.65,K. S. Ravikumar
tm931158,Gather,7.65,Sanjay Rawal
tm1091155,Untold: Breaking Point,7.65,Maclain Way
tm881162,Athlete A,7.65,Jon Shenk
tm881162,Athlete A,7.65,Bonni Cohen
tm32885,Rang De Basanti,7.65,Rakeysh Omprakash Mehra
tm1131061,Hilda and the Mountain King,7.65,Andy Coyle
tm372061,Sudani from Nigeria,7.6499999999999995,Zakariya Mohammed
tm1086874,Minnal Murali,7.6475,Basil Joseph
tm136257,Beasts of No Nation,7.641,Cary Joji Fukunaga
tm826473,A Sun,7.637,Chung Mong-Hong
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,7.634,Marty Callner
tm817542,Hikaru Utada Laughter in the Dark Tour 2018,7.6335,
tm82718,G.O.R.A.,7.6305,Ömer Faruk Sorak
tm941382,Stand by Me Doraemon 2,7.629,Takashi Yamazaki
tm941382,Stand by Me Doraemon 2,7.629,Ryuichi Yagi
tm857461,Gangubai Kathiawadi,7.6175,Sanjay Leela Bhansali
tm1259392,Entergalactic,7.6135,Fletcher Moules
tm307776,Secret Superstar,7.6095,
tm51493,Vizontele,7.608499999999999,Yılmaz Erdoğan
tm47321,Seven Pounds,7.6045,Gabriele Muccino
tm434625,Wish Dragon,7.6005,Chris Appelhans
tm25842,A Lion in the House,7.6,Steven Bognar
tm859256,Red,7.6,Kishore Tirumala
tm76835,Jab We Met,7.6,Imtiaz Ali
tm305437,Hey Arnold! The Jungle Movie,7.6,Raymie Muzquiz
tm36475,Kabhi Khushi Kabhie Gham,7.6,Karan Johar
tm307843,Angamaly Diaries,7.6,Lijo Jose Pellissery
tm25842,A Lion in the House,7.6,Julia Reichert
tm293867,Neal Brennan: 3 Mics,7.6,Neal Brennan
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,7.6,Ian MacNaughton
tm1285036,Guillermo del Toro's Pinocchio: Handcarved Cinema,7.6,
tm55091,Quiet Victory: The Charlie Wedemeyer Story,7.6,Roy Campanella II
tm1108321,Dave Chappelle: The Closer,7.6,Stan Lathan
tm193388,Dhanak,7.6,Nagesh Kukunoor
tm957903,The Boys in the Band: Something Personal,7.6,Joel Kazuo Knoernschild
tm458328,Badla,7.6,Sujoy Ghosh
tm917036,The Speed Cubers,7.6,Sue Kim
tm881859,A Secret Love,7.6,Chris Bolan
tm1002408,Biking Borders - eine etwas andere Reise,7.6,Max Jabs
tm973704,Andhaghaaram,7.6,V. Vignarajan
tm456894,Free Rein: Valentine's Day,7.6,Marek Losey
tm942492,Super Monsters: Dia de los Monsters,7.6,
tm979026,"tick, tick... BOOM!",7.6,Lin-Manuel Miranda
tm1046240,Al Maht,7.6,Sayood
